wkt_geom;Nombre;Linea
PointZ (-99.17728400000000022 19.37932199999999838 0);Parque Hundido;Línea 1
PointZ (-99.1804429999999968 19.3690800000000003 0);Río Churubusco;Línea 1
PointZ (-99.18997999999999138 19.34081799999999873 0);Dr. Gálvez;Línea 1
PointZ (-99.18626399999999421 19.35127400000000009 0);Altavista;Línea 1
PointZ (-99.18791199999999719 19.34681099999999887 0);Bombilla;Línea 1
PointZ (-99.1724619999999959 19.39362300000000161 0);Poliforum;Línea 1
PointZ (-99.17368299999999692 19.38985800000000026 0);Nápoles;Línea 1
PointZ (-99.18606599999999673 19.30446799999999996 0);Perisur;Línea 1
PointZ (-99.1840440000000001 19.35836000000000112 0);Francia;Línea 1
PointZ (-99.08085499999998547 19.46730499999999964 0);Loreto Fabela;Línea 6
PointZ (-99.17739899999999409 19.29250100000000145 0);Ayuntamiento;Línea 1
PointZ (-99.18125200000000063 19.29414600000000135 0);Corregidora;Línea 1
PointZ (-99.14193000000000211 19.43033399999999844 0);Eje Central_Metrobús_Línea 4;Línea 4
PointZ (-99.07724799999998311 19.42147599999999841 0);Terminal 2 - Aeropuerto;Línea 4
PointZ (-99.13280500000001894 19.42892799999999909 0);Museo de la Ciudad;Línea 4
PointZ (-99.15337399999999946 19.43501499999999993 0);Glorieta de Colón;Línea 4
PointZ (-99.15226699999999482 19.44486200000000053 0);Buenavista. Línea 4;Línea 4
PointZ (-99.12992099999999596 19.42615500000000139 0);Las Cruces Sur;Línea 4
PointZ (-99.11904100000000994 19.42548400000000086 0);Cecilio Robelo;Línea 4
PointZ (-99.14354699999999809 19.43060699999999841 0);Plaza San Juan;Línea 4
PointZ (-99.15100900000000195 19.43336499999999845 0);Expo Reforma;Línea 4
PointZ (-99.111976999999996 19.42689299999999974 0);Moctezuma;Línea 4
PointZ (-99.11517300000001285 19.43236699999999928 0);Terminal. San Lázaro. Línea 5;Línea 5
PointZ (-99.06480500000000688 19.46928000000000125 0);Colegio de Bachilleres 9;Línea 6
PointZ (-99.11517300000001285 19.43091000000000079 0);Terminal San Lázaro;Línea 4
PointZ (-99.1270449999999812 19.43684999999999974 0);Teatro del Pueblo;Línea 4
PointZ (-99.11045799999999417 19.44946699999999851 0);Canal del Norte;Línea 5
PointZ (-99.09913600000000145 19.4760610000000014 0);Río Guadalupe;Línea 5
PointZ (-99.10508699999999749 19.46203999999999823 0);Oriente 101;Línea 5
PointZ (-99.12341299999999933 19.43635700000000099 0);Mixcalco;Línea 4
PointZ (-99.1190029999999922 19.43581400000000059 0);Morelos;Línea 4
PointZ (-99.07174600000000453 19.46853399999999823 0);414;Línea 6
PointZ (-99.16572600000000648 19.52291699999999963 0);San José de la Escalera;Línea 3
PointZ (-99.14376799999999434 19.46767399999999881 0);Hospital La Raza;Línea 3
PointZ (-99.08300800000002084 19.38891800000000032 0);Río Tecolutla;Línea 2
PointZ (-99.06069200000000308 19.38284499999999966 0);CCH Oriente;Línea 2
PointZ (-99.14504199999998946 19.45584900000000061 0);Tlatelolco;Línea 3
PointZ (-99.07608000000000459 19.38421999999999912 0);Rojo Gomez;Línea 2
PointZ (-99.15716600000000369 19.50331299999999857 0);La Patera;Línea 3
PointZ (-99.14881900000000314 19.4277249999999988 0);Balderas;Línea 3
PointZ (-99.1443790000000007 19.4588220000000014 0);Tolnahuac;Línea 3
PointZ (-99.14865100000000098 19.44022899999999865 0);Mina;Línea 3
PointZ (-99.17527800000002003 19.38550599999999946 0);Colonia del Valle;Línea 1
PointZ (-99.18550899999999615 19.29940200000000061 0);Villa Olímpica;Línea 1
PointZ (-99.13484200000000612 19.39348000000000027 0);Las Américas;Línea 2
PointZ (-99.18586000000001945 19.4049359999999993 0);Antonio Maceo;Línea 2
PointZ (-99.15554000000000201 19.440411000000001 0);Revolución;Línea 1
PointZ (-99.14255500000000154 19.39460400000000107 0);Álamos;Línea 2
PointZ (-99.09038499999999772 19.39391499999999979 0);UPIICSA;Línea 2
PointZ (-99.16411600000000703 19.39692900000000009 0);Amores;Línea 2
PointZ (-99.09947999999999979 19.39686999999999983 0);Goma;Línea 2
PointZ (-99.1874080000000049 19.31461499999999987 0);CCU;Línea 1
PointZ (-99.13311500000000365 19.49060000000000059 0);Instituto Politécnico Nacional;Línea 6
PointZ (-99.10167400000000271 19.48053600000000074 0);Hospital General La Villa;Línea 6
PointZ (-99.19753099999998369 19.51149900000000059 0);Colegio de Bachilleres 1;Línea 6
PointZ (-99.15004999999999313 19.49423600000000079 0);Lindavista-Vallejo;Línea 6
PointZ (-99.17683500000001118 19.50132500000000135 0);Tecnoparque;Línea 6
PointZ (-99.12893599999999594 19.48904699999999934 0);Riobamba;Línea 6
PointZ (-99.18843099999999424 19.32279799999999881 0);Ciudad Universitaria;Línea 1
PointZ (-99.16917399999999816 19.27939200000000142 0);El Caminero;Línea 1
PointZ (-99.18527199999999766 19.35471499999999878 0);Olivo;Línea 1
PointZ (-99.14079999999998449 19.43030399999999958 0);Eje Central_Metrobús_Línea 4;Línea 4
PointZ (-99.1477429999999913 19.43125900000000073 0);Juárez_Metrobús_Línea 4;Línea 4
PointZ (-99.15241199999999822 19.44259500000000074 0);Delegación Cuauhtémoc;Línea 4
PointZ (-99.13240799999999808 19.4291400000000003 0);Museo de la Ciudad;Línea 4
PointZ (-99.12552599999997938 19.42834099999999964 0);Circunvalación;Línea 4
PointZ (-99.15416700000000105 19.42037799999999947 0);Jardín Pushkin;Línea 3
PointZ (-99.1552120000000059 19.40665800000000019 0);Centro Médico;Línea 3
PointZ (-99.15178700000001299 19.48911899999999875 0);Poniente 128;Línea 3
PointZ (-99.14598100000000613 19.47367300000000157 0);Cuitláhuac;Línea 3
PointZ (-99.14083099999999149 19.46757300000000157 0);La Raza;Línea 3
PointZ (-99.05986799999999448 19.3892099999999985 0);Constitución de Apatzingán;Línea 2
PointZ (-99.16485600000000034 19.41686599999999885 0);Álvaro Obregón;Línea 1
PointZ (-99.06593299999998692 19.38340200000000024 0);Leyes de Reforma;Línea 2
PointZ (-99.1696240000000131 19.40354900000000171 0);Nuevo León;Línea 2
PointZ (-99.17397300000001792 19.40439999999999898 0);Escandón;Línea 2
PointZ (-99.0961070000000035 19.39650699999999972 0);Iztacalco;Línea 2
PointZ (-99.10352299999999559 19.39719600000000099 0);Tlacotal;Línea 2
PointZ (-99.15459400000000301 19.44310199999999966 0);El Chopo;Línea 1
PointZ (-99.12773900000001959 19.48247299999999882 0);Euzkaro;Línea 1
PointZ (-99.10945100000000707 19.39782699999999949 0);Canela;Línea 2
PointZ (-99.11542499999998768 19.43111599999999939 0);Terminal San Lázaro;Línea 4
PointZ (-99.08612100000000567 19.50672499999999943 0);Río de los Remedios;Línea 5
PointZ (-99.12341299999999933 19.42324100000000087 0);Mercado de Sonora;Línea 4
PointZ (-99.13908399999999688 19.43842899999999929 0);Teatro Blanquita;Línea 4
PointZ (-99.13997700000000179 19.43863699999999994 0);Teatro Blanquita;Línea 4
PointZ (-99.09224700000000041 19.49219300000000032 0);Vasco de Quiroga;Línea 5
PointZ (-99.14182300000000225 19.4364069999999991 0);Bellas Artes;Línea 4
PointZ (-99.09012599999999793 19.49716899999999953 0);5 de Mayo;Línea 5
PointZ (-99.08624600000000271 19.47064400000000006 0);Pueblo San Juan de Aragón;Línea 6
PointZ (-99.09738900000002104 19.48021699999999967 0);San Juan de Aragón;Línea 5
PointZ (-99.09749999999998238 19.4788010000000007 0);San Juan de Aragón;Línea 6
PointZ (-99.07224499999998102 19.47661099999999834 0);Volcán de Fuego;Línea 6
PointZ (-99.10591199999998935 19.48229100000000003 0);Martín Carrera;Línea 6
PointZ (-99.09577899999999318 19.4839500000000001 0);Preparatoria 3;Línea 5
PointZ (-99.09241000000000099 19.47677799999999948 0);Gran Canal;Línea 6
PointZ (-99.11905500000000302 19.48525400000000118 0);La Villa;Línea 6
PointZ (-99.18973599999999635 19.505077 0);Ferrocarriles Nacionales;Línea 6
PointZ (-99.20008399999998971 19.50676599999999894 0);El Rosario;Línea 6
PointZ (-99.11461599999999805 19.43496899999999883 0);Archivo General de la Nación;Línea 4
PointZ (-99.13199600000000089 19.43740700000000032 0);República de Argentina;Línea 4
PointZ (-99.13700900000000615 19.42961700000000036 0);Isabel La Católica;Línea 4
PointZ (-99.12762499999999477 19.43676900000000174 0);Teatro del Pueblo;Línea 4
PointZ (-99.12391700000000583 19.42318200000000061 0);Mercado de Sonora;Línea 4
PointZ (-99.12927200000000028 19.42869900000000172 0);Las Cruces Norte;Línea 4
PointZ (-99.14465300000000525 19.43077299999999852 0);Plaza San Juan;Línea 4
PointZ (-99.13853500000001873 19.42987400000000164 0);El Salvador;Línea 4
PointZ (-99.13942000000000121 19.43007100000000165 0);El Salvador;Línea 4
PointZ (-99.12415300000000684 19.43632300000000157 0);Mixcalco;Línea 4
PointZ (-99.15398399999999413 19.43712800000000129 0);Plaza de la República;Línea 4
PointZ (-99.14588200000000029 19.45192300000000074 0);Ricardo Flores Magón;Línea 3
PointZ (-99.1535339999999934 19.43415800000000004 0);Glorieta de Colón;Línea 4
PointZ (-99.15345800000000054 19.4386410000000005 0);Puente de Alvarado;Línea 4
PointZ (-99.14482900000000143 19.470638000000001 0);Héroe de Nacozari;Línea 3
PointZ (-99.17001299999999731 19.52963400000000149 0);Metrobus Tenayuca;Línea 3
PointZ (-99.15021499999998866 19.43158899999999889 0);Vocacional 5;Línea 4
PointZ (-99.15303000000000111 19.49228499999999897 0);Poniente 134;Línea 3
PointZ (-99.15095499999999618 19.431754999999999 0);Vocacional 5;Línea 4
PointZ (-99.14727799999998581 19.44573199999999957 0);Guerrero;Línea 3
PointZ (-99.13119500000001949 19.43735699999999866 0);República de Argentina;Línea 4
PointZ (-99.14564099999999769 19.49326500000000095 0);Instituto del Petróleo;Línea 6
PointZ (-99.1461490000000083 19.43729799999999841 0);Hidalgo. Línea 4;Línea 4
PointZ (-99.07925600000000088 19.47288899999999856 0);416 Poniente;Línea 6
PointZ (-99.10679600000000278 19.45778100000000066 0);Santa Coleta;Línea 5
PointZ (-99.07098999999998057 19.47154400000000152 0);416 Oriente;Línea 6
PointZ (-99.1417160000000024 19.4364050000000006 0);Bellas Artes;Línea 4
PointZ (-99.13871000000000322 19.4918590000000016 0);San Bartolo;Línea 6
PointZ (-99.09417000000000542 19.48760000000000048 0);El Coyol;Línea 5
PointZ (-99.0755709999999965 19.46687599999999918 0);482;Línea 6
PointZ (-99.15722700000002021 19.43615199999999987 0);Plaza de la República;Línea 1
PointZ (-99.15303000000000111 19.44695700000000116 0);Buenavista. Línea 1.;Línea 1
PointZ (-99.13880199999999832 19.46883800000000164 0);La Raza. Línea 1.;Línea 1
PointZ (-99.11972799999999495 19.49678400000000167 0);Indios Verdes;Línea 1
PointZ (-99.17758200000000102 19.40558599999999956 0);Patriotismo;Línea 2
PointZ (-99.16996000000000322 19.40187099999999987 0);Nuevo León;Línea 1
PointZ (-99.17130299999999465 19.39787300000000059 0);La Piedad;Línea 1
PointZ (-99.15880600000001266 19.43306499999999915 0);Reforma;Línea 1
PointZ (-99.16403999999999996 19.41990300000000147 0);Durango;Línea 1
PointZ (-99.1324769999999944 19.47661599999999993 0);Potrero;Línea 1
PointZ (-99.1556850000000054 19.39586800000000011 0);Etiopía. Línea 2;Línea 2
PointZ (-99.14807899999999563 19.43138899999999936 0);Juárez. Línea 3;Línea 3
PointZ (-99.14641599999998789 19.39520800000000023 0);Centro SCOP;Línea 2
PointZ (-99.04741699999998161 19.39070900000000108 0);Tepalcates;Línea 2
PointZ (-99.07414199999999482 19.38756199999999907 0);Río Frío;Línea 2
PointZ (-99.08026099999997882 19.38710599999999928 0);Río Mayo;Línea 2
